email_custom_domain,same_email_domain_count,projects_count,strings_count,members_count,has_private_project,same_login_and_project_name,days_after_last_login,country,purchase
0,128,4,58,31,1,1,7,"Saudi Arabia",1
0,11,31,69,606,0,0,22,Italy,0
1,72,59,90,446,0,0,18,USA,0
1,31,10,68,330,0,0,4,"Saudi Arabia",0
0,94,90,68,34,1,0,4,USA,1
0,92,17,11,40,1,1,15,Polland,0
0,7,65,37,561,0,1,27,Ukraine,0
0,106,38,48,956,0,1,6,Polland,1
0,4,86,74,14,1,0,6,Japan,0
1,23,12,1,344,0,0,9,Polland,0
1,76,27,61,204,0,1,7,"Saudi Arabia",0
1,64,25,0,46,1,0,1,"Saudi Arabia",1
1,193,52,85,30,0,1,6,Ukraine,1
0,92,9,40,33,1,0,6,"Saudi Arabia",1
0,102,91,99,42,1,1,6,"Saudi Arabia",1
1,55,68,49,7,1,1,0,USA,1
0,127,44,7,2,1,0,6,USA,1
1,84,60,45,48,1,1,9,Polland,0
1,46,84,64,609,0,1,30,Ukraine,0
0,181,81,21,45,1,1,22,"Saudi Arabia",0
1,107,3,9,15,1,1,15,Italy,0
0,55,49,74,31,1,0,10,China,0
0,10,5,68,18,1,0,17,Ukraine,0
0,30,6,42,605,0,1,24,"Saudi Arabia",0
1,7,92,79,144,0,0,5,USA,0
1,76,35,98,48,1,1,9,France,0
0,136,35,41,844,0,0,7,"Saudi Arabia",1
0,173,33,78,28,1,1,4,France,1
0,19,83,88,15,1,0,20,Italy,0
1,186,60,73,146,0,1,19,Japan,0
0,83,15,72,15,1,0,7,Ukraine,1
1,57,68,80,9,1,1,0,France,1
0,178,64,60,812,0,1,19,Japan,0
1,199,28,51,663,0,0,3,France,1
1,28,67,54,43,1,0,23,Italy,0
0,56,40,81,133,0,1,4,Germany,1
0,20,76,85,16,1,0,24,Italy,0
1,167,56,70,20,1,1,9,China,0
1,79,93,97,13,1,0,5,"Saudi Arabia",1
0,89,51,98,34,1,1,0,Germany,1
0,99,34,59,49,1,1,0,USA,1
0,38,75,49,24,1,0,10,Polland,0
0,197,35,35,25,1,1,2,"Saudi Arabia",1
0,91,35,13,44,1,0,13,"Saudi Arabia",0
1,80,78,94,832,0,0,1,"Saudi Arabia",1
1,184,45,7,852,0,1,8,Japan,0
1,128,88,2,166,0,0,11,"Saudi Arabia",0
0,65,36,27,29,1,1,13,Italy,0
1,118,5,56,14,1,1,2,"Saudi Arabia",1
0,133,76,36,32,1,0,23,Spain,0
0,180,8,66,20,1,0,22,France,0
0,6,11,25,35,1,1,23,Polland,0
1,53,100,60,1,0,0,15,Japan,0
0,131,25,74,19,1,1,21,Polland,0
0,52,39,63,46,1,0,3,Germany,1
0,121,91,1,36,1,0,1,France,1
1,22,64,23,6,1,1,7,"Saudi Arabia",1
0,66,20,13,37,1,0,23,Italy,0
1,72,16,21,143,0,1,5,Ukraine,0
0,194,26,14,143,0,0,2,USA,1
1,45,25,11,32,1,1,6,Japan,1
1,93,100,73,44,1,0,14,"Saudi Arabia",0
0,119,93,43,24,1,1,26,Japan,0
1,93,66,20,19,1,1,12,Spain,0
1,29,86,2,88,0,0,19,Italy,0
0,31,49,69,28,1,1,22,Polland,0
0,133,11,30,547,0,1,5,France,0
0,32,83,19,48,1,0,12,Japan,0
1,47,14,36,36,1,1,19,Spain,0
1,15,75,84,222,0,1,28,Spain,0
0,2,89,44,392,0,1,16,China,0
1,38,17,33,173,0,1,2,Germany,0
0,5,1,47,10,1,0,1,USA,1
1,117,73,61,3,1,1,18,Italy,0
0,174,69,60,932,0,1,21,France,0
1,100,88,70,858,0,0,7,USA,1
1,144,29,67,5,1,1,11,Japan,0
0,62,14,64,40,1,0,23,China,0
1,104,57,31,35,1,0,17,France,0
1,168,72,22,807,0,0,1,Spain,1
0,20,74,55,18,1,1,21,Polland,0
0,2,25,92,822,0,1,0,France,1
0,184,22,23,35,1,1,9,USA,0
0,171,32,32,62,0,1,19,USA,0
0,169,83,11,3,0,1,23,USA,0
0,148,7,100,277,0,1,1,USA,1
0,33,36,15,11,1,1,1,Spain,1
1,176,97,0,50,1,1,7,Polland,0
1,104,78,11,39,0,0,5,Polland,1
0,114,87,8,65,0,0,2,"Saudi Arabia",1
0,53,79,19,14,1,1,29,Japan,0
0,27,62,51,8,1,0,29,Italy,0
0,188,64,74,28,1,1,10,Japan,0
1,100,30,18,18,1,1,21,Polland,0
1,148,66,34,27,0,1,3,Polland,1
0,143,33,58,11,1,0,1,USA,0
1,96,77,86,894,0,1,15,Germany,0
0,94,87,80,126,0,0,27,Ukraine,0
1,72,96,77,3,1,0,6,France,1
1,71,14,47,808,0,1,7,Germany,1
1,78,69,93,38,1,0,6,Japan,1
0,5,64,83,25,1,1,5,USA,1
0,133,15,31,50,1,1,4,Germany,1
1,32,44,48,6,1,0,2,Germany,1
1,102,33,89,17,1,1,5,China,1
0,168,70,100,40,0,0,5,Ukraine,0
0,112,10,90,626,0,0,2,France,1
1,36,9,69,28,1,1,23,China,0
1,17,95,31,534,0,1,27,Polland,0
1,107,15,92,46,1,1,1,Italy,0
0,110,97,48,536,0,1,3,"Saudi Arabia",1
1,3,36,19,46,1,0,6,China,1
1,77,22,36,43,1,0,29,Japan,0
1,62,9,29,8,1,1,28,Spain,0
1,43,74,65,951,0,0,21,Polland,0
1,40,54,26,386,0,0,2,Germany,1
0,65,21,3,8,1,1,20,Ukraine,0
1,160,35,94,283,0,0,9,Spain,0
1,52,62,79,7,1,1,11,Ukraine,0
0,147,5,14,531,0,1,1,Ukraine,1
1,159,79,78,19,1,1,6,"Saudi Arabia",1
1,16,15,80,47,1,1,21,France,0
1,199,18,3,15,1,1,4,Ukraine,0
1,135,93,22,572,0,1,24,Italy,0
1,51,49,53,39,1,1,21,Germany,0
1,110,86,19,975,0,0,14,Germany,0
1,69,27,62,860,0,0,20,Polland,0
0,171,39,64,31,1,1,1,Japan,1
1,8,61,93,50,1,0,14,Japan,0
0,95,16,10,37,1,1,29,Japan,0
1,92,8,69,45,1,0,22,Ukraine,0
0,47,22,28,37,0,1,3,Italy,0
1,101,5,19,24,1,0,7,Spain,0
1,99,98,76,442,0,0,7,Italy,0
0,55,35,66,38,1,0,17,Italy,0
1,174,81,23,5,1,1,0,Japan,0
1,7,26,13,5,1,1,1,Japan,0
1,118,61,53,42,1,1,5,"Saudi Arabia",1
0,94,64,28,17,1,0,25,Italy,0
1,113,66,16,29,1,1,27,China,0
0,165,56,73,14,0,1,20,Germany,0
1,165,47,28,564,0,0,27,Japan,0
1,177,80,41,995,0,0,10,Italy,0
0,13,99,72,285,0,1,30,France,0
0,6,90,2,617,0,1,0,Spain,1
0,193,8,55,399,0,0,25,Spain,0
1,114,92,79,8,1,1,6,"Saudi Arabia",1
1,110,85,15,24,1,1,25,Ukraine,0
1,92,65,51,487,0,0,6,USA,1
0,119,51,81,17,1,0,5,"Saudi Arabia",1
1,80,47,32,42,1,0,4,France,0
0,15,46,84,415,0,1,13,Spain,0
1,54,95,27,8,1,1,3,France,1
1,49,49,81,37,1,1,6,Italy,0
1,163,64,43,47,1,0,2,USA,0
0,169,18,70,383,0,0,15,Ukraine,0
1,90,30,65,34,1,1,1,USA,1
1,195,2,98,21,1,0,2,Polland,0
1,64,58,42,859,0,0,4,Italy,0
1,38,88,5,967,0,0,27,Spain,0
1,145,98,31,41,1,1,1,USA,1
0,14,34,91,49,1,1,4,Germany,1
1,118,96,35,4,1,1,13,"Saudi Arabia",0
1,120,44,13,143,0,1,10,France,0
1,0,7,53,635,0,1,10,Spain,0
1,183,87,12,41,1,1,14,Japan,0
0,169,84,35,41,1,0,11,France,0
1,79,90,77,271,0,0,5,Germany,0
0,112,58,27,282,0,1,11,Japan,0
0,82,74,92,4,1,1,25,France,0
1,161,100,2,755,0,0,19,Japan,0
1,138,99,4,46,1,0,4,USA,1
0,28,18,99,18,1,0,4,China,0
0,50,76,45,42,0,1,28,Spain,0
1,115,25,39,37,1,0,5,Italy,0
0,36,32,87,377,0,0,2,"Saudi Arabia",0
0,58,88,98,46,1,1,20,Ukraine,0
1,144,7,4,107,0,1,1,USA,1
0,128,26,76,37,1,0,28,Spain,0
1,164,47,48,37,1,1,7,Polland,0
1,67,43,14,46,1,0,23,Spain,0
0,7,58,23,35,1,0,7,Ukraine,0
1,183,49,59,12,1,0,3,Germany,1
1,79,25,99,935,0,1,4,"Saudi Arabia",1
1,157,35,56,9,1,0,4,Germany,0
1,132,71,98,728,0,0,2,Spain,0
1,102,63,49,561,0,1,15,Germany,0
1,8,64,44,612,0,0,0,Italy,0
0,3,86,65,31,1,0,1,Polland,0
0,147,92,17,36,1,1,21,Japan,0
1,153,72,92,22,1,0,16,Italy,0
1,47,61,68,17,1,1,24,Spain,0
0,5,50,3,29,1,1,1,Italy,0
0,0,60,56,213,0,1,18,Germany,0
0,2,40,49,42,1,1,18,USA,0
1,93,60,99,251,0,1,2,USA,1
1,156,31,99,45,1,0,27,Germany,0
0,0,47,21,530,0,1,0,"Saudi Arabia",1
1,57,39,44,22,1,0,2,USA,1
0,157,19,62,42,1,1,13,Italy,0
1,108,31,30,2,1,0,22,Polland,0
0,21,94,66,6,1,1,7,"Saudi Arabia",1
1,26,40,11,21,1,0,1,Polland,0
0,128,78,84,13,1,1,8,Italy,0
1,10,23,23,851,0,1,19,China,0
0,105,13,5,1,1,1,11,Japan,0
1,133,6,71,26,1,0,0,France,0
0,76,66,55,11,1,0,20,Spain,0
0,169,4,67,400,0,0,2,Ukraine,1
1,154,50,28,10,1,1,5,"Saudi Arabia",1
0,100,30,14,41,1,0,14,Japan,0
0,153,47,92,31,1,1,9,China,0
0,45,35,88,506,0,1,8,Japan,0
1,196,45,44,41,1,1,14,"Saudi Arabia",0
0,106,69,50,573,0,1,11,"Saudi Arabia",0
1,130,37,31,33,1,1,5,USA,1
0,67,84,88,15,1,0,3,USA,1
1,179,87,65,49,1,0,11,Ukraine,0
0,140,25,83,47,1,1,8,USA,0
1,197,74,68,416,0,1,10,France,0
0,58,49,19,119,0,1,11,Ukraine,0
1,84,64,55,275,0,1,22,"Saudi Arabia",0
1,156,9,16,608,0,1,13,USA,0
1,23,82,50,940,0,1,28,Ukraine,0
1,135,65,27,521,0,0,1,"Saudi Arabia",0
0,59,91,24,29,1,1,5,China,0
1,169,80,22,12,1,0,5,"Saudi Arabia",1
1,36,79,81,3,1,0,4,"Saudi Arabia",1
1,54,50,74,27,1,0,7,France,1
1,80,24,29,4,1,1,26,USA,0
1,129,42,32,47,1,1,1,China,0
0,4,17,18,887,0,1,22,Ukraine,0
0,45,59,20,3,1,0,13,France,0
1,94,49,0,90,0,0,2,"Saudi Arabia",1
0,132,82,42,15,1,1,2,Germany,1
0,72,76,84,42,1,0,12,France,0
1,16,33,35,687,0,0,2,Germany,1
0,115,64,50,17,1,0,5,Spain,0
1,128,82,91,966,0,0,25,Polland,0
1,0,14,33,27,1,1,12,Ukraine,0
0,102,91,95,11,1,1,22,Japan,0
1,12,67,96,49,1,1,28,Germany,0
0,148,23,81,468,0,0,24,Polland,0
1,194,54,85,12,1,0,2,USA,1
1,146,26,29,5,1,1,4,"Saudi Arabia",1
0,122,31,91,23,1,0,26,Ukraine,0
0,149,88,86,18,1,0,3,USA,1
0,152,84,6,19,1,0,29,France,0
1,89,49,72,39,1,1,3,Spain,1
0,181,59,95,39,1,1,5,Japan,0
0,43,48,41,41,1,1,27,USA,0
1,19,52,39,27,1,0,16,Ukraine,0
0,107,70,56,42,1,1,4,Italy,1
0,184,54,52,846,0,0,28,"Saudi Arabia",0
1,90,2,30,324,0,0,11,China,0
0,114,93,83,919,0,0,4,"Saudi Arabia",1
1,69,30,44,30,1,0,10,Japan,0
1,10,70,31,112,0,1,24,Polland,0
0,42,31,0,920,0,1,2,Ukraine,1
0,51,43,99,31,1,0,5,Ukraine,0
0,197,95,15,751,0,0,16,China,0
1,117,88,26,43,1,0,4,France,0
1,14,32,75,13,1,0,5,USA,1
0,55,20,32,30,1,1,30,France,0
0,63,89,18,674,0,0,2,Spain,1
1,52,93,6,19,1,0,7,Ukraine,0
1,61,24,74,28,1,0,10,Polland,0
0,82,61,7,206,0,1,22,Polland,0
0,142,42,52,61,0,1,20,Spain,0
1,115,9,11,35,1,1,8,China,0
0,75,100,73,3,1,0,2,France,1
0,71,94,16,17,1,0,6,"Saudi Arabia",1
0,145,15,67,34,1,1,24,Italy,0
0,199,17,21,821,0,0,9,Japan,0
0,154,15,45,212,0,0,4,"Saudi Arabia",1
1,69,75,62,31,1,1,6,Ukraine,1
0,35,2,15,33,1,1,22,Japan,0
1,105,27,29,759,0,0,4,China,1
0,74,44,78,47,1,0,13,Ukraine,0
0,144,16,95,389,0,0,6,Germany,1
1,126,39,48,41,1,0,5,USA,1
1,147,92,47,16,1,0,3,France,1
1,23,39,31,246,0,1,3,"Saudi Arabia",1
0,72,15,92,41,1,0,3,Germany,1
1,133,92,34,33,1,1,4,Italy,0
0,14,2,77,621,0,1,0,"Saudi Arabia",0
1,195,45,47,21,1,1,6,Polland,0
1,120,28,84,807,0,0,1,Polland,1
1,170,97,69,16,1,0,13,Germany,0
0,36,64,92,20,1,0,3,Italy,0
1,30,95,87,28,1,1,4,France,1
0,48,3,22,7,1,1,7,"Saudi Arabia",1
1,131,94,90,43,1,0,22,Japan,0
0,74,50,86,998,0,1,7,Spain,0
1,62,76,77,50,1,0,15,USA,0
0,47,23,44,579,0,1,0,Polland,1
1,92,84,96,3,1,0,27,Germany,0
0,166,38,52,34,1,1,6,USA,1
1,117,6,71,27,1,0,3,Germany,1
0,150,54,16,27,1,1,14,China,0
1,68,7,59,225,0,1,14,China,0
0,164,82,58,253,0,0,28,USA,0
0,197,38,0,25,1,0,5,Japan,1
1,186,80,57,33,1,0,21,Italy,0
0,169,62,57,8,1,1,2,France,1
0,20,82,96,21,1,1,4,France,1
1,172,57,68,15,1,0,22,Japan,0
1,3,37,60,10,1,0,12,Japan,0
1,8,23,12,36,1,1,2,USA,1
0,167,71,1,106,0,1,1,Ukraine,1
0,66,64,55,20,1,0,3,Japan,0
1,156,40,54,209,0,1,15,"Saudi Arabia",0
0,162,56,65,296,0,1,17,"Saudi Arabia",0
1,59,35,1,876,0,0,29,France,0
1,58,75,13,960,0,1,27,Spain,0
0,137,52,61,858,0,0,7,USA,0
0,63,18,82,28,1,0,2,Polland,1
0,157,62,97,50,1,1,23,Germany,0
1,66,99,20,262,0,0,6,Polland,1
0,41,10,60,15,1,1,27,Spain,0
1,32,87,94,16,1,1,6,China,0
1,76,51,18,184,0,1,19,"Saudi Arabia",0
0,66,80,35,844,0,1,2,Germany,1
0,152,33,62,5,1,0,3,Germany,1
0,147,13,88,34,1,1,6,Germany,1
0,49,51,5,46,1,0,22,Ukraine,0
0,53,12,71,12,1,0,6,USA,1
1,146,28,21,41,1,0,4,Germany,0
1,129,27,52,41,1,1,19,China,0
1,197,51,32,9,1,0,21,Spain,0
1,51,85,61,3,0,0,6,Spain,0
1,44,84,46,8,1,0,2,Germany,1
1,66,100,33,25,1,1,9,Ukraine,0
1,97,50,67,907,0,0,11,Italy,0
0,113,68,83,487,0,0,0,France,1
1,154,79,48,10,1,0,1,Germany,1
1,157,54,85,34,1,1,28,Japan,0
1,168,10,17,34,1,1,22,France,0
1,15,23,99,23,1,1,9,Polland,0
1,180,3,84,4,1,0,3,Spain,1
0,45,23,23,42,1,0,11,"Saudi Arabia",0
0,79,71,8,15,1,0,30,Germany,0
0,103,39,56,10,1,1,13,Italy,0
0,71,82,14,41,0,1,7,Italy,0
1,135,65,29,678,0,1,2,USA,0
1,57,15,91,32,1,1,1,China,0
0,140,29,19,432,0,1,23,Japan,0
1,144,33,88,8,1,1,9,France,0
1,106,74,31,38,1,1,0,France,1
1,171,80,24,7,1,1,22,Ukraine,0
0,170,20,58,784,0,1,5,"Saudi Arabia",0
1,164,19,21,244,0,1,5,Polland,1
0,110,55,59,16,1,1,4,China,0
0,172,31,89,349,0,1,8,Polland,0
0,168,56,71,826,0,1,7,Germany,1
0,67,14,70,30,1,0,8,China,0
1,195,42,8,35,1,0,6,Spain,0
0,139,29,45,39,1,1,1,USA,0
1,76,32,71,17,1,0,30,Japan,0
1,41,19,22,49,1,0,4,France,1
0,30,49,65,1,1,0,19,"Saudi Arabia",0
1,66,41,86,50,1,0,26,Ukraine,0
1,112,12,71,231,0,0,20,USA,0
0,41,32,80,242,0,1,2,Polland,0
0,72,95,66,958,0,1,12,Spain,0
1,101,8,17,17,1,0,3,Italy,0
0,196,20,21,14,1,0,12,Japan,0
1,145,82,34,47,1,1,6,Germany,1
0,73,94,41,32,1,1,22,Japan,0
0,99,52,58,468,0,0,14,China,0
1,78,24,49,98,0,1,6,Polland,0
1,55,94,76,900,0,0,10,Italy,0
1,115,82,19,33,1,1,14,Spain,0
0,89,68,84,25,1,1,26,Italy,0
1,20,41,25,963,0,1,0,Spain,1
0,92,47,78,20,1,1,4,Japan,0
1,166,3,18,846,0,1,5,Spain,1
0,128,71,25,2,1,0,26,China,0
0,19,1,64,43,1,0,15,Spain,0
1,87,93,48,852,0,0,9,Ukraine,0
0,144,16,50,737,0,0,1,France,1
0,159,94,55,8,1,1,27,Italy,0
0,125,19,38,8,1,1,14,Japan,0
0,36,77,49,844,0,1,7,Germany,1
1,73,87,53,46,1,0,6,Spain,1
0,113,78,88,21,1,0,5,Spain,1
0,8,11,6,47,1,1,6,Ukraine,1
0,47,58,69,28,1,0,12,France,0
1,130,88,61,41,1,1,22,Italy,0
1,90,8,30,22,1,1,7,Italy,1
0,116,89,73,24,1,1,7,"Saudi Arabia",1
0,7,71,95,228,0,0,0,"Saudi Arabia",1
1,165,98,95,44,1,0,29,"Saudi Arabia",0
0,102,98,9,36,1,0,7,"Saudi Arabia",1
0,6,81,19,3,1,1,29,Spain,0
0,82,90,56,19,1,1,3,Spain,1
1,75,67,6,169,0,1,16,Japan,0
1,153,49,68,96,0,0,19,China,0
1,89,1,56,617,0,1,13,Ukraine,0
0,36,93,12,51,0,1,28,Polland,0
0,82,55,1,19,1,0,21,France,0
0,38,11,72,2,1,0,12,Japan,0
0,79,32,30,662,0,1,23,France,0
0,141,13,64,834,0,1,28,France,0
0,108,11,77,36,1,1,12,France,0
1,58,19,96,41,1,1,0,Spain,1
1,161,3,6,42,1,0,30,Japan,0
1,184,42,34,211,0,0,20,Germany,0
1,33,76,62,16,1,0,12,Spain,0
1,114,39,49,36,1,0,7,"Saudi Arabia",1
0,104,59,30,46,1,1,3,Polland,0
0,89,4,86,594,0,0,22,China,0
1,111,65,14,766,0,1,21,USA,0
0,172,16,10,49,1,0,14,Italy,0
1,62,23,37,182,0,0,13,Spain,0
0,6,15,19,613,0,0,18,France,0
1,80,6,51,34,1,0,18,Italy,0
1,36,4,76,6,1,0,2,Germany,1
0,10,90,14,9,1,1,5,"Saudi Arabia",1
0,79,28,99,38,1,1,29,Ukraine,0
1,199,20,94,30,1,1,6,"Saudi Arabia",1
1,184,61,38,33,1,1,3,Germany,1
1,58,41,64,42,1,1,24,Spain,0
0,132,65,49,25,0,1,7,"Saudi Arabia",1
1,67,94,100,15,1,1,0,Italy,1
0,37,75,84,25,1,1,29,Spain,0
1,161,97,7,684,0,1,18,Italy,0
0,190,70,14,11,1,0,19,Japan,0
0,186,56,14,473,0,1,17,Italy,0
0,12,65,14,33,1,1,30,Italy,0
1,8,43,53,131,0,0,29,Polland,0
0,72,51,44,10,1,1,9,"Saudi Arabia",0
0,47,30,2,45,1,1,4,Germany,1
0,96,44,19,8,1,1,1,Italy,1
0,130,54,87,9,1,1,1,France,0
1,163,32,38,35,0,0,5,Germany,1
1,165,86,30,9,1,1,6,"Saudi Arabia",1
1,116,62,79,31,1,0,27,Polland,0
1,46,13,75,3,1,0,27,Germany,0
0,28,42,1,23,1,1,28,Polland,0
0,3,80,76,473,0,0,1,Germany,0
0,17,93,56,45,1,1,3,Germany,1
1,75,31,64,20,1,0,30,Japan,0
1,3,1,67,45,1,0,20,Japan,0
1,43,1,96,413,0,0,21,Italy,0
1,18,69,17,23,1,0,25,China,0
0,123,48,86,31,1,1,25,France,0
0,162,52,61,1,1,1,24,France,0
1,86,61,8,44,1,1,2,USA,0
0,65,15,4,3,1,0,1,France,1
0,84,66,81,23,1,0,30,Ukraine,0
1,190,23,89,43,1,1,17,USA,0
0,154,78,79,133,0,1,6,"Saudi Arabia",1
1,67,73,14,949,0,0,14,Germany,0
1,75,84,35,37,1,1,3,China,0
1,80,88,49,48,1,0,19,Italy,0
0,94,10,71,998,0,0,28,France,0
0,75,3,70,510,0,1,11,Italy,0
0,108,100,14,43,1,1,0,USA,1
0,102,18,88,23,1,1,27,Ukraine,0
